127.0.0.1 - - [12/Nov/2019:23:06:47 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:06:50 +0900] "GET /Pos_System/index.jsp HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:06:50 +0900] "GET /Pos_System/right.jsp HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:06:50 +0900] "GET /Pos_System/left.jsp HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:06:51 +0900] "GET /Pos_System/right.jsp HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:06:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:13:56 +0900] "GET /Pos_System/index.jsp HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:13:57 +0900] "GET /Pos_System/choice.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:15:31 +0900] "GET /Pos_System/index.jsp HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:15:31 +0900] "GET /Pos_System/choice.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:15:43 +0900] "GET /Pos_System/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:15:43 +0900] "GET /Pos_System/choice.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:15:51 +0900] "GET /Pos_System/index.jsp HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:15:51 +0900] "GET /Pos_System/choice.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:16:23 +0900] "GET /Pos_System/index.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [12/Nov/2019:23:16:23 +0900] "GET /Pos_System/choice.jsp HTTP/1.1" 200 128
